"","Inspection.Date","Trade.Name","id"
"1",2018-03-20,"KINGS NEWBRIDGE C-STORE",279
"2",2018-03-20,"HARLEM GOURMET DELI",349
"3",2018-03-20,"GARDEN FRESH GOURMET",428
"4",2018-03-20,"CUSE MARKET",852
"5",2018-03-20,"MANNAN SUPERMARKET",921
"6",2018-03-20,"MANNAN SUPERMARKET",930
"7",2018-03-20,"FINE FARE SUPERMARKET",1323
"8",2018-03-20,"IDEAL FOOD BASKET",1578
"9",2018-03-20,"SARH DELI GROCERY",1593
"10",2018-03-20,"C-TOWN SUPERMARKET",1732
"11",2018-03-20,"IBB MINI MART",2518
"12",2018-03-20,"LASHWAYS MEAT MARKET",2726
"13",2018-03-20,"MAPLEFIELDS",3301
"14",2018-03-20,"OZONE PRK SPRMKT&HALAL",3532
"15",2018-03-20,"MILLERS DELI",3591
"16",2018-03-20,"ROCKS GROCERY",3772
"17",2018-03-20,"XTRA MART 1730",3840
"18",2018-03-20,"CIRCLE W MARKET",3908
"19",2018-03-20,"THE MADELINE CHOCOLATE",4634
"20",2018-03-20,"SPEEDWAY #07663",4921
"21",2018-03-20,"WESTERN BEEF 20",5017
"22",2018-03-20,"BUTCHER BOY PRIME MEATS",5789
"23",2018-03-20,"FAMILY DOLLAR 3512",6152
"24",2018-03-20,"2013 ABIGAIL DELI GROCE",6257
"25",2018-03-20,"FINE FARE SUPERMARKET",6687
"26",2018-03-20,"KEY FOOD SUPERMARKET",6910
"27",2018-03-20,"7 ELEVEN STORE #35204A",7110
"28",2018-03-20,"FAMILY DOLLAR 1794",7414
"29",2018-03-20,"FAMILY DOLLAR #6853",7552
"30",2018-03-20,"DOLLAR TREE #1927",7952
"31",2018-03-20,"DELFORNOS MARKET PLACE",8007
"32",2018-03-20,"SAVE A LOT",8156
"33",2018-03-20,"M&M COUNTRY STORE",8186
"34",2018-03-20,"UNITED SUPERMARKET",8557
"35",2018-03-20,"RITE AID #02686",9047
"36",2018-03-20,"FAST STOP 1",9553
"37",2018-03-20,"DUDDYS CORER",9561
"38",2018-03-20,"GAMAL MINI MART",9695
"39",2018-03-20,"CORDERO GROCERY & DELI",9749
"40",2018-03-20,"B LANDI DELI GROCERY",9801
"41",2018-03-20,"CHOLULA II DELI & GROC",9888
"42",2018-03-20,"STAR FRUIT FARM",9889
"43",2018-03-20,"BROOKLYN KITCHEN THE",10017
"44",2018-03-20,"GARDEN OF EDEN",10135
"45",2018-03-20,"SK CENTURY 168",10339
"46",2018-03-20,"GOLD STAR BAKERY",10769
"47",2018-03-20,"HUI HUANG FOOD",10922
"48",2018-03-20,"LOUIES",11350
"49",2018-03-20,"RITE AID #10734",11378
"50",2018-03-20,"RITE AID #00755",11399
"51",2018-03-20,"DELL'S MARKET & DELI",11546
"52",2018-03-20,"SAMS MINI MART",11750
"53",2018-03-20,"PAPA FIRO GROCERY",11767
"54",2018-03-20,"ZIPS FOOD & BEVERAGE ST",11854
"55",2018-03-20,"OIL DEPOT",12153
"56",2018-03-20,"CONVENTION DISTRICT CAF",12211
"57",2018-03-20,"RITE AID #10629",12472
"58",2018-03-20,"7 ELEVEN STORE #37082H",12483
"59",2018-03-20,"MIDTOWN MINI MART",12798
"60",2018-03-20,"20 EAST STAR DELI GROCE",13037
"61",2018-03-20,"NATUREGIRL INDUSTRIES",13210
"62",2018-03-20,"FENG SHUN",13851
"63",2018-03-20,"ESSEX OLIVE&SPICE HOUSE",13948
"64",2018-03-20,"NEW HENG YUN CHICKEN MA",13969
"65",2018-03-20,"MID ATLANTIC",14090
"66",2018-03-20,"THE HEIGHTS MARKET",14234
"67",2018-03-20,"ROCCO GUALTIERIS ITALIA",14510
"68",2018-03-20,"DAVIDS TEA #212",15240
"69",2018-03-20,"GARCIAS SUPERMARKET",15465
"70",2018-03-20,"KOHNS FRESH FISH",15959
"71",2018-03-20,"XTRA MART 1630",15966
"72",2018-03-20,"STEWARTS SHOP 366",15999
"73",2018-03-20,"SAHRS POULTRY",16730
"74",2018-03-20,"KOOL FOOD MART",17211
