"","Trade.Name","City","Reviews","Number_of_Reviews"
"1","108 DELI & GROCERY","CORONA",4.2,23
"2","BRIGHTON BAZAAR","BROOKLYN",3.9,858
"3","E-Z MART CITGO","WHITE PLAINS",4.5,2
"4","CVS PHARMACY 00678","ENDICOTT",0,0
"5","EXXON KOSHER","MONROE",4.6,328
"6","GARDEN DELI & GRILL","BROOKLYN",4.7,32
"7","ADIRONDACK WINERY","LAKE GEORGE",4.5,164
"8","BEER STORE","MONTICELLO",4.5,382
"9","LIFETHYME NATURAL MARKE","NEW YORK",4.3,180
"10","TASTE OF RUSSIA","BROOKLYN",4.3,249
"11","GOOD FOOD FORLESS","BROOKLYN",4.4,76
"12","FARM PRIDE","BELLEVILLE",0,0
"13","ALDI 82","LOCKPORT",4.5,629
"14","ALDI STORE 32","CLAY",0,0
"15","C TOWN","PEEKSKILL",4.1,277
"16","MIRABITO STORE # 133","LAURENS",0,0
"17","MAZAMITLA","NEW ROCHELLE",5,2
"18","BROADWAY GRCRY CANDY ST","BRONX",0,0
"19","TAIZ MINI MARKET","MOUNT VERNON",0,0
"20","MACKIES","EAST ISLIP",4.4,54
"21","WEGMANS 62","ROCHESTER",0,0
"22","181 GOURMET DELI","NEW YORK",4.5,31
"23","DICKSONS FARMSTAND MEAT","NEW YORK",4.4,135
"24","ALDI 39","PENN YAN",4.5,308
"25","AVRAHAMS BAKERY","FLUSHING",4.5,31
"26","TWIN DOCKS","FINDLEY LAKE",4.5,4
"27","BRAUNS FISH STORE","FLUSHING",4.1,9
"28","SHELL","SALT POINT",4,23
"29","SUPER JORDAN","SYOSSET",4.6,28
"30","W & E DELI GROCERY","BRONX",0,0
"31","ALLERTON GRY & CNDY STR","BRONX",4,3
"32","J&W FOOD CENTER","BRONX",4,7
"33","FINYOUR FISHMONGER","GUILDERLAND",4.6,85
"34","RAAKA CHOCOLATE","BROOKLYN",4.6,66
"35","82 CORNER MARKET","NEW YORK",4.9,22
"36","FELIX ROMA BAKERY","ENDICOTT",4.3,7
"37","BIEN CUIT GRAND CENTRAL","NEW YORK",4.1,19
"38","BRIGHTON FRUIT MARKET","BROOKLYN",0,0
"39","FLORS DELI GROCERY","JACKSON HEIGHTS",0,0
"40","BESBAS DELI GROCERY","BRONX",0,0
"41","ALANS FARMLAND","NEW YORK",3.9,46
"42","CLIFFS LOCAL MARKET","PORT LEYDEN",0,0
"43","FRESH MARKET OF NEW YOR","SARATOGA SPRINGS",4.4,328
"44","MY MANDARIN","BROOKLYN",4.1,35
"45","HUDSON FOOD MARKET","LONG ISLAND CITY",3.6,52
"46","BALS BAGELS","BROOKLYN",0,0
"47","QUICKWAY 68","DEPOSIT",0,0
"48","RITE AID PHARMACY 02541","YONKERS",2.6,47
"49","KAJOL CONVENIENCE","ELMHURST",0,0
"50","BIG LOTS #819","CANANDAIGUA",4.1,253
"51","HEIMISHA LUDKSHEN","SPRING VALLEY",0,0
"52","NEW YORK DELI & SMOKE Z","JACKSON HEIGHTS",0,0
"53","TARGET 2211","ROCHESTER",0,0
"54","K MART #3396","POUGHKEEPSIE",0,0
"55","121 CONVENIENCE DELI","NEW YORK",4,2
"56","LI LAC CHOCOLATES","NEW YORK",0,0
"57","AZAAN AND MOEEZ FOOD MA","SPRING VALLEY",0,0
"58","BJS WHOLESALE CLUB 49","HAUPPAUGE",4,158
"59","MO GOURMET DELI","RICHMOND HILL",1,2
"60","COUNTRY LANE BULK FOODS","WOODHULL",0,0
"61","PARK VIEW GROCERY&DELI","UNADILLA",4.7,78
"62","EXPRESS MART #357/ SPEE","APALACHIN",0,0
"63","VALERO FOOD MART","EAST MORICHES",0,0
"64","GEBEKS USA","BROOKLYN",0,0
"65","WAL-MART SUPERCNTR#1973","LAKEWOOD",0,0
"66","FINE FARE SUPERMARKET","BRONX",0,0
"67","SLIDERS FOOD MART","HARRISVILLE",0,0
"68","F P GOURMET DELI","NEW YORK",0,0
"69","WIN FOR LIFE CNDY & GRO","JAMAICA",0,0
"70","J&L GROCERY AND DELI","BROOKLYN",0,0
"71","ALADDIN HALAL MARKET","ALBANY",4.6,80
"72","GUSS' PICKLES","BROOKLYN",4.2,25
"73","DASH MARKETS","WILLIAMSVILLE",3.9,35
"74","FAMILY DOLLAR 2013","CAMDEN",0,0
"75","IGA LAVIGNES","CHATEAUGAY",4.1,91
"76","DAVES MKT&CHRISTMS WNDR","CHEEKTOWAGA",0,0
"77","C TOWN SUPERMARKET","BRONX",0,0
"78","SUNOCO A PLUS #9070","CLIFTON SPRINGS",0,0
"79","437 MANHATTAN DELI","NEW YORK",4.1,11
"80","PNZ GRILL & DELI","RIDGEWOOD",0,0
"81","DOLLAR GENERAL #18952","FINDLEY LAKE",4.6,29
"82","WEST MARKET","BUFFALO",4.3,36
"83","APNA BAZAR CASH & CARRY","HICKSVILLE",4,NA
"84","CVS PHARMACY 00739","ROCHESTER",4.6,11
"85","JAK DELI","SPEONK",3.7,43
"86","TAG BEVERAGE 02/22/17","HOLBROOK",4.1,14
"87","UN GOURMET PLAZA","NEW YORK",4.7,12
"88","DARLENES DELI","PENN YAN",0,0
"89","DELICIOUS FOOD DELI CAF","BRONX",4.7,38
"90","LOG CABINS THE","HAMMOND",0,0
"91","ROBERTS BUTCHER SHOP","BAYSIDE",4.6,38
"92","STEWARTS SHOP 277","VOORHEESVILLE",3.7,6
"93","BIG TREE","BROOKLYN",0,0
