"","Street","City","State.Code","Zip.Code"
"1","3154 BAILEY AVENUE","BUFFALO","NY",14215
"2","521 KINGS HIGHWAY","BROOKLYN","NY",11223
"3","4730 BROADWAY","DEPEW","NY",14043
"4","1174 WALDEN AVE","BUFFALO","NY",14211
"5","675 LINCOLN AVE","BROOKLYN","NY",11208
"6","64 S MAIN ST","ELBA","NY",14058
"7","2233 PITKIN AVE","BROOKLYN","NY",11207
"8","46 CHURCH ST","GLOVERSVILLE","NY",12078
"9","4018 SENECA ST","W SENECA","NY",14224
"10","2530 HAMBURG TPKE #","LACKAWANNA","NY",14218
"11","1426 ST JOHNS PL","BROOKLYN","NY",11213
"12","13285 BROADWAY #","ALDEN","NY",14004
"13","1506 ROCKAWAY PKWY","BROOKLYN","NY",11236
"14","7544 COURT ST","ELIZABETHTOWN","NY",12932
"15","6824 20TH AVE","BROOKLYN","NY",11204
"16","5 ERNST PLACE","EAST AURORA","NY",14052
"17","221 S CAROLINE ST","HERKIMER","NY",13350
"18","1 MAIN ST","MOHAWK","NY",13407
"19","15 LAMBERSON ST","DOLGEVILLE","NY",13329
"20","577 E MAIN ST","BATAVIA","NY",14020
"21","301 W MAIN ST","BATAVIA","NY",14020
"22","419 W MAIN ST","BATAVIA","NY",14020
"23","465 JOHNSON AVE","BROOKLYN","NY",11237
"24","PO BOX 158 6081 ST RT 11","CHATEAUGAY","NY",12920
"25","2 S MAIN ST PO BOX 28","PHILADELPHIA","NY",13673
"26","296 MAIN STREET","CATSKILL","NY",12414
"27","198 N COMRIE AVE","JOHNSTOWN","NY",12095
"28","818 FLATBUSH AVE","BROOKLYN","NY",11226
"29","55 N MAIN ST","DOLGEVILLE","NY",13329
"30","1356 BROADWAY","BROOKLYN","NY",11221
"31","85 PINEAPPLE WALK","BROOKLYN","NY",11201
"32","5808 FLATLANDS AVE #","BROOKLYN","NY",11234
"33","8319 INDIAN FALLS RD #","EAST PEMBROKE","NY",14056
"34","10633 MAIN ST","CLARENCE","NY",14031
"35","122 W MAIN STREET","CHATEAUGAY","NY",12920
"36","4121 CHURCH AVE","BROOKLYN","NY",11203
"37","933 MACE CHASM RD","KEESEVILLE","NY",12944
"38","2368 HAMBURG TPKE","BUFFALO","NY",14218
"39","7602 18TH AVENUE","BROOKLYN","NY",11214
"40","469 E 98TH ST","BROOKLYN","NY",11212
"41","3921 4TH AVE","BROOKLYN","NY",11232
"42","8363 LEWISTON RD#","BATAVIA","NY",14020
"43","6924 18TH AVE","BROOKLYN","NY",11204
"44","738 NOSTRAND AVE","BROOKLYN","NY",11216
"45","115 WILLOUGHBY ST","BROOKLYN","NY",11201
"46","3050 UNION RD","ORCHARD PARK","NY",14127
"47","5 GARLAND LANE #","GREENVILLE","NY",12083
"48","6743 4TH AVE","BROOKLYN","NY",11220
"49","3950 UNION RD","CHEEKTOWAGA","NY",14225
"50","5730 CASCADE RD   #","LAKE PLACID","NY",12946
"51","7805 5TH AVE","BROOKLYN","NY",11209
"52","450 LINCOLN  RD","BROOKLYN","NY",11225
"53","357 5TH AVE","BROOKLYN","NY",11215
"54","3735 UNION RD","CHEEKTOWAGA","NY",14225
"55","1 E MAIN ST","WEST WINFIELD","NY",13491
"56","125 MALCOLM X BLVD","BROOKLYN","NY",11221
"57","77 HEGEMAN AVE","BROOKLYN","NY",11212
"58","3870 HARLEM RD","CHEEKTOWAGA","NY",14215
"59","21854 TOWNE CENTER DR","WATERTOWN","NY",13601
"60","3008 UNION RD","ORCHARD PARK","NY",14127
"61","9202 AVENUE M","BROOKLYN","NY",11236
"62","999 BROADWAY ST","BUFFALO","NY",14212
"63","157 AVENUE O","BROOKLYN","NY",11204
"64","1268 ARSENAL ST","WATERTOWN","NY",13601
