"","Street","City","State.Code","Zip.Code"
"1","53-14 108TH STREET","CORONA","NY",11368
"2","1007 BRIGHTON BEACH AVE","BROOKLYN","NY",11235
"3","42 LAKE ST","WHITE PLAINS","NY",10603
"4","1010 UNION CENTER HWY#","ENDICOTT","NY",13760
"5","425 STATE RT 208","MONROE","NY",10950
"6","222 HOYT ST","BROOKLYN","NY",11217
"7","285 CANADA ST","LAKE GEORGE","NY",12845
"8","77 PLEASANT ST","MONTICELLO","NY",12701
"9","410 AVENUE OF THE AMERICAS","NEW YORK","NY",10011
"10","412 E 83RD ST","BROOKLYN","NY",11236
